id,exam,unit,name,order
1,행시,5급 행정(전국),5급 행정(전국)-일반행정,1
2,행시,5급 행정(전국),5급 행정(전국)-인사조직,2
3,행시,5급 행정(전국),5급 행정(전국)-법무행정,3
4,행시,5급 행정(전국),5급 행정(전국)-재경,4
5,행시,5급 행정(전국),5급 행정(전국)-국제통상,5
6,행시,5급 행정(전국),5급 행정(전국)-교육행정,6
7,행시,5급 행정(전국),5급 행정(전국)-사회복지,7
8,행시,5급 행정(전국),5급 행정(전국)-교정,8
9,행시,5급 행정(전국),5급 행정(전국)-보호,9
10,행시,5급 행정(전국),5급 행정(전국)-검찰,10
11,행시,5급 행정(전국),5급 행정(전국)-출입국관리,11
12,행시,5급 행정(지역),5급 행정(지역)-서울,12
13,행시,5급 행정(지역),5급 행정(지역)-부산,13
14,행시,5급 행정(지역),5급 행정(지역)-대구,14
15,행시,5급 행정(지역),5급 행정(지역)-인천,15
16,행시,5급 행정(지역),5급 행정(지역)-광주,16
17,행시,5급 행정(지역),5급 행정(지역)-대전,17
18,행시,5급 행정(지역),5급 행정(지역)-울산,18
19,행시,5급 행정(지역),5급 행정(지역)-세종,19
20,행시,5급 행정(지역),5급 행정(지역)-경기,20
21,행시,5급 행정(지역),5급 행정(지역)-강원,21
22,행시,5급 행정(지역),5급 행정(지역)-충북,22
23,행시,5급 행정(지역),5급 행정(지역)-충남,23
24,행시,5급 행정(지역),5급 행정(지역)-전북,24
25,행시,5급 행정(지역),5급 행정(지역)-전남,25
26,행시,5급 행정(지역),5급 행정(지역)-경북,26
27,행시,5급 행정(지역),5급 행정(지역)-경남,27
28,행시,5급 행정(지역),5급 행정(지역)-제주,28
29,행시,5급 기술(전국),5급 기술(전국)-일반기계,29
30,행시,5급 기술(전국),5급 기술(전국)-전기,30
31,행시,5급 기술(전국),5급 기술(전국)-화공,31
32,행시,5급 기술(전국),5급 기술(전국)-일반농업,32
33,행시,5급 기술(전국),5급 기술(전국)-산림자원,33
34,행시,5급 기술(전국),5급 기술(전국)-일반수산,34
35,행시,5급 기술(전국),5급 기술(전국)-일반환경,35
