id,leet_id,subject,number,answer
1,1,언어,1,3
2,1,언어,2,3
3,1,언어,3,3
4,1,언어,4,5
5,1,언어,5,1
6,1,언어,6,5
7,1,언어,7,3
8,1,언어,8,2
9,1,언어,9,2
10,1,언어,10,2
11,1,언어,11,3
12,1,언어,12,1
13,1,언어,13,1
14,1,언어,14,3
15,1,언어,15,3
16,1,언어,16,3
17,1,언어,17,5
18,1,언어,18,2
19,1,언어,19,2
20,1,언어,20,5
21,1,언어,21,5
22,1,언어,22,5
23,1,언어,23,5
24,1,언어,24,5
25,1,언어,25,4
26,1,언어,26,5
27,1,언어,27,4
28,1,언어,28,5
29,1,언어,29,1
30,1,언어,30,4
31,1,추리,1,4
32,1,추리,2,3
33,1,추리,3,2
34,1,추리,4,1
35,1,추리,5,2
36,1,추리,6,5
37,1,추리,7,5
38,1,추리,8,4
39,1,추리,9,4
40,1,추리,10,5
41,1,추리,11,5
42,1,추리,12,1
43,1,추리,13,4
44,1,추리,14,2
45,1,추리,15,3
46,1,추리,16,5
47,1,추리,17,3
48,1,추리,18,1
49,1,추리,19,1
50,1,추리,20,2
51,1,추리,21,1
52,1,추리,22,2
53,1,추리,23,4
54,1,추리,24,1
55,1,추리,25,2
56,1,추리,26,3
57,1,추리,27,4
58,1,추리,28,2
59,1,추리,29,3
60,1,추리,30,4
61,1,추리,31,2
62,1,추리,32,1
63,1,추리,33,4
64,1,추리,34,3
65,1,추리,35,3
66,1,추리,36,5
67,1,추리,37,5
68,1,추리,38,5
69,1,추리,39,4
70,1,추리,40,2
