id,year,exam,subject,paper_type,number,answer
2746,2014,행시,언어,A,1,4
2747,2014,행시,언어,A,2,4
2748,2014,행시,언어,A,3,2
2749,2014,행시,언어,A,4,4
2750,2014,행시,언어,A,5,4
2751,2014,행시,언어,A,6,4
2752,2014,행시,언어,A,7,4
2753,2014,행시,언어,A,8,3
2754,2014,행시,언어,A,9,3
2755,2014,행시,언어,A,10,2
2756,2014,행시,언어,A,11,5
2757,2014,행시,언어,A,12,2
2758,2014,행시,언어,A,13,2
2759,2014,행시,언어,A,14,4
2760,2014,행시,언어,A,15,2
2761,2014,행시,언어,A,16,5
2762,2014,행시,언어,A,17,1
2763,2014,행시,언어,A,18,5
2764,2014,행시,언어,A,19,2
2765,2014,행시,언어,A,20,3
2766,2014,행시,언어,A,21,4
2767,2014,행시,언어,A,22,1
2768,2014,행시,언어,A,23,3
2769,2014,행시,언어,A,24,3
2770,2014,행시,언어,A,25,5
2771,2014,행시,언어,A,26,4
2772,2014,행시,언어,A,27,2
2773,2014,행시,언어,A,28,3
2774,2014,행시,언어,A,29,2
2775,2014,행시,언어,A,30,1
2776,2014,행시,언어,A,31,5
2777,2014,행시,언어,A,32,5
2778,2014,행시,언어,A,33,3
2779,2014,행시,언어,A,34,1
2780,2014,행시,언어,A,35,1
2781,2014,행시,언어,A,36,3
2782,2014,행시,언어,A,37,2
2783,2014,행시,언어,A,38,5
2784,2014,행시,언어,A,39,1
2785,2014,행시,언어,A,40,2
