problem_code, correct_answer
sub00_01, 4
sub00_02, 4
sub00_03, 2
sub00_04, 1
sub00_05, 4
sub00_06, 3
sub00_07, 4
sub00_08, 3
sub00_09, 4
sub00_10, 1
sub00_11, 3
sub00_12, 2
sub00_13, 3
sub00_14, 3
sub00_15, 1
sub00_16, 1
sub00_17, 4
sub00_18, 3
sub00_19, 2
sub00_20, 1
sub00_21, 3
sub00_22, 4
sub00_23, 2
sub00_24, 1
sub00_25, 3
sub01_01, 4
sub01_02, 5
sub01_03, 4
sub01_04, 3
sub01_05, 5
sub01_06, 1
sub01_07, 1
sub01_08, 4
sub01_09, 3
sub01_10, 1
sub01_11, 2
sub01_12, 4
sub01_13, 5
sub01_14, 4
sub01_15, 5
sub01_16, 4
sub01_17, 3
sub01_18, 5
sub01_19, 3
sub01_20, 2
sub01_21, 5
sub01_22, 4
sub01_23, 3
sub01_24, 3
sub01_25, 4
sub01_26, 1
sub01_27, 1
sub01_28, 1
sub01_29, 5
sub01_30, 3
sub01_31, 4
sub01_32, 5
sub01_33, 4
sub01_34, 3
sub01_35, 4
sub01_36, 1
sub01_37, 4
sub01_38, 3
sub01_39, 5
sub01_40, 5
sub02_01, 4
sub02_02, 4
sub02_03, 1
sub02_04, 5
sub02_05, 2
sub02_06, 3
sub02_07, 2
sub02_08, 4
sub02_09, 3
sub02_10, 4
sub02_11, 5
sub02_12, 4
sub02_13, 5
sub02_14, 4
sub02_15, 1
sub02_16, 5
sub02_17, 3
sub02_18, 3
sub02_19, 5
sub02_20, 3
sub02_21, 3
sub02_22, 2
sub02_23, 3
sub02_24, 2
sub02_25, 1
sub02_26, 2
sub02_27, 5
sub02_28, 5
sub02_29, 4
sub02_30, 3
sub02_31, 4
sub02_32, 2
sub02_33, 5
sub02_34, 1
sub02_35, 1
sub02_36, 1
sub02_37, 1
sub02_38, 2
sub02_39, 3
sub02_40, 1
sub03_01, 1
sub03_02, 3
sub03_03, 1
sub03_04, 5
sub03_05, 4
sub03_06, 5
sub03_07, 3
sub03_08, 4
sub03_09, 2
sub03_10, 3
sub03_11, 5
sub03_12, 5
sub03_13, 5
sub03_14, 1
sub03_15, 4
sub03_16, 4
sub03_17, 2
sub03_18, 1
sub03_19, 2
sub03_20, 2
sub03_21, 2
sub03_22, 2
sub03_23, 3
sub03_24, 5
sub03_25, 4
sub03_26, 2
sub03_27, 1
sub03_28, 2
sub03_29, 4
sub03_30, 4
sub03_31, 3
sub03_32, 3
sub03_33, 1
sub03_34, 5
sub03_35, 4
sub03_36, 1
sub03_37, 3
sub03_38, 4
sub03_39, 2
sub03_40, 3
