id,prime_id,number,answer
1,1,1,0
2,1,2,0
3,1,3,0
4,1,4,0
5,1,5,0
6,1,6,0
7,1,7,0
8,1,8,0
9,1,9,0
10,1,10,0
11,1,11,0
12,1,12,0
13,1,13,0
14,1,14,0
15,1,15,0
16,1,16,0
17,1,17,0
18,1,18,0
19,1,19,0
20,1,20,0
21,1,21,0
22,1,22,0
23,1,23,0
24,1,24,0
25,1,25,0
26,1,26,0
27,1,27,0
28,1,28,0
29,1,29,0
30,1,30,0
31,1,31,0
32,1,32,0
33,1,33,0
34,1,34,0
35,1,35,0
36,1,36,0
37,1,37,0
38,1,38,0
39,1,39,0
40,1,40,0
41,2,1,0
42,2,2,0
43,2,3,0
44,2,4,0
45,2,5,0
46,2,6,0
47,2,7,0
48,2,8,0
49,2,9,0
50,2,10,0
51,2,11,0
52,2,12,0
53,2,13,0
54,2,14,0
55,2,15,0
56,2,16,0
57,2,17,0
58,2,18,0
59,2,19,0
60,2,20,0
61,2,21,0
62,2,22,0
63,2,23,0
64,2,24,0
65,2,25,0
66,2,26,0
67,2,27,0
68,2,28,0
69,2,29,0
70,2,30,0
71,2,31,0
72,2,32,0
73,2,33,0
74,2,34,0
75,2,35,0
76,2,36,0
77,2,37,0
78,2,38,0
79,2,39,0
80,2,40,0
81,3,1,0
82,3,2,0
83,3,3,0
84,3,4,0
85,3,5,0
86,3,6,0
87,3,7,0
88,3,8,0
89,3,9,0
90,3,10,0
91,3,11,0
92,3,12,0
93,3,13,0
94,3,14,0
95,3,15,0
96,3,16,0
97,3,17,0
98,3,18,0
99,3,19,0
100,3,20,0
101,3,21,0
102,3,22,0
103,3,23,0
104,3,24,0
105,3,25,0
106,3,26,0
107,3,27,0
108,3,28,0
109,3,29,0
110,3,30,0
111,3,31,0
112,3,32,0
113,3,33,0
114,3,34,0
115,3,35,0
116,3,36,0
117,3,37,0
118,3,38,0
119,3,39,0
120,3,40,0
121,4,1,0
122,4,2,0
123,4,3,0
124,4,4,0
125,4,5,0
126,4,6,0
127,4,7,0
128,4,8,0
129,4,9,0
130,4,10,0
131,4,11,0
132,4,12,0
133,4,13,0
134,4,14,0
135,4,15,0
136,4,16,0
137,4,17,0
138,4,18,0
139,4,19,0
140,4,20,0
141,4,21,0
142,4,22,0
143,4,23,0
144,4,24,0
145,4,25,0
146,5,1,0
147,5,2,0
148,5,3,0
149,5,4,0
150,5,5,0
151,5,6,0
152,5,7,0
153,5,8,0
154,5,9,0
155,5,10,0
156,5,11,0
157,5,12,0
158,5,13,0
159,5,14,0
160,5,15,0
161,5,16,0
162,5,17,0
163,5,18,0
164,5,19,0
165,5,20,0
166,5,21,0
167,5,22,0
168,5,23,0
169,5,24,0
170,5,25,0
171,5,26,0
172,5,27,0
173,5,28,0
174,5,29,0
175,5,30,0
176,5,31,0
177,5,32,0
178,5,33,0
179,5,34,0
180,5,35,0
181,5,36,0
182,5,37,0
183,5,38,0
184,5,39,0
185,5,40,0
186,6,1,0
187,6,2,0
188,6,3,0
189,6,4,0
190,6,5,0
191,6,6,0
192,6,7,0
193,6,8,0
194,6,9,0
195,6,10,0
196,6,11,0
197,6,12,0
198,6,13,0
199,6,14,0
200,6,15,0
201,6,16,0
202,6,17,0
203,6,18,0
204,6,19,0
205,6,20,0
206,6,21,0
207,6,22,0
208,6,23,0
209,6,24,0
210,6,25,0
211,6,26,0
212,6,27,0
213,6,28,0
214,6,29,0
215,6,30,0
216,6,31,0
217,6,32,0
218,6,33,0
219,6,34,0
220,6,35,0
221,6,36,0
222,6,37,0
223,6,38,0
224,6,39,0
225,6,40,0
226,7,1,0
227,7,2,0
228,7,3,0
229,7,4,0
230,7,5,0
231,7,6,0
232,7,7,0
233,7,8,0
234,7,9,0
235,7,10,0
236,7,11,0
237,7,12,0
238,7,13,0
239,7,14,0
240,7,15,0
241,7,16,0
242,7,17,0
243,7,18,0
244,7,19,0
245,7,20,0
246,7,21,0
247,7,22,0
248,7,23,0
249,7,24,0
250,7,25,0
251,7,26,0
252,7,27,0
253,7,28,0
254,7,29,0
255,7,30,0
256,7,31,0
257,7,32,0
258,7,33,0
259,7,34,0
260,7,35,0
261,7,36,0
262,7,37,0
263,7,38,0
264,7,39,0
265,7,40,0
266,8,1,0
267,8,2,0
268,8,3,0
269,8,4,0
270,8,5,0
271,8,6,0
272,8,7,0
273,8,8,0
274,8,9,0
275,8,10,0
276,8,11,0
277,8,12,0
278,8,13,0
279,8,14,0
280,8,15,0
281,8,16,0
282,8,17,0
283,8,18,0
284,8,19,0
285,8,20,0
286,8,21,0
287,8,22,0
288,8,23,0
289,8,24,0
290,8,25,0
291,9,1,0
292,9,2,0
293,9,3,0
294,9,4,0
295,9,5,0
296,9,6,0
297,9,7,0
298,9,8,0
299,9,9,0
300,9,10,0
301,9,11,0
302,9,12,0
303,9,13,0
304,9,14,0
305,9,15,0
306,9,16,0
307,9,17,0
308,9,18,0
309,9,19,0
310,9,20,0
311,9,21,0
312,9,22,0
313,9,23,0
314,9,24,0
315,9,25,0
316,9,26,0
317,9,27,0
318,9,28,0
319,9,29,0
320,9,30,0
321,9,31,0
322,9,32,0
323,9,33,0
324,9,34,0
325,9,35,0
326,9,36,0
327,9,37,0
328,9,38,0
329,9,39,0
330,9,40,0
331,10,1,0
332,10,2,0
333,10,3,0
334,10,4,0
335,10,5,0
336,10,6,0
337,10,7,0
338,10,8,0
339,10,9,0
340,10,10,0
341,10,11,0
342,10,12,0
343,10,13,0
344,10,14,0
345,10,15,0
346,10,16,0
347,10,17,0
348,10,18,0
349,10,19,0
350,10,20,0
351,10,21,0
352,10,22,0
353,10,23,0
354,10,24,0
355,10,25,0
356,10,26,0
357,10,27,0
358,10,28,0
359,10,29,0
360,10,30,0
361,10,31,0
362,10,32,0
363,10,33,0
364,10,34,0
365,10,35,0
366,10,36,0
367,10,37,0
368,10,38,0
369,10,39,0
370,10,40,0
371,11,1,0
372,11,2,0
373,11,3,0
374,11,4,0
375,11,5,0
376,11,6,0
377,11,7,0
378,11,8,0
379,11,9,0
380,11,10,0
381,11,11,0
382,11,12,0
383,11,13,0
384,11,14,0
385,11,15,0
386,11,16,0
387,11,17,0
388,11,18,0
389,11,19,0
390,11,20,0
391,11,21,0
392,11,22,0
393,11,23,0
394,11,24,0
395,11,25,0
396,11,26,0
397,11,27,0
398,11,28,0
399,11,29,0
400,11,30,0
401,11,31,0
402,11,32,0
403,11,33,0
404,11,34,0
405,11,35,0
406,11,36,0
407,11,37,0
408,11,38,0
409,11,39,0
410,11,40,0
411,12,1,0
412,12,2,0
413,12,3,0
414,12,4,0
415,12,5,0
416,12,6,0
417,12,7,0
418,12,8,0
419,12,9,0
420,12,10,0
421,12,11,0
422,12,12,0
423,12,13,0
424,12,14,0
425,12,15,0
426,12,16,0
427,12,17,0
428,12,18,0
429,12,19,0
430,12,20,0
431,12,21,0
432,12,22,0
433,12,23,0
434,12,24,0
435,12,25,0
436,13,1,0
437,13,2,0
438,13,3,0
439,13,4,0
440,13,5,0
441,13,6,0
442,13,7,0
443,13,8,0
444,13,9,0
445,13,10,0
446,13,11,0
447,13,12,0
448,13,13,0
449,13,14,0
450,13,15,0
451,13,16,0
452,13,17,0
453,13,18,0
454,13,19,0
455,13,20,0
456,13,21,0
457,13,22,0
458,13,23,0
459,13,24,0
460,13,25,0
461,13,26,0
462,13,27,0
463,13,28,0
464,13,29,0
465,13,30,0
466,13,31,0
467,13,32,0
468,13,33,0
469,13,34,0
470,13,35,0
471,13,36,0
472,13,37,0
473,13,38,0
474,13,39,0
475,13,40,0
476,14,1,0
477,14,2,0
478,14,3,0
479,14,4,0
480,14,5,0
481,14,6,0
482,14,7,0
483,14,8,0
484,14,9,0
485,14,10,0
486,14,11,0
487,14,12,0
488,14,13,0
489,14,14,0
490,14,15,0
491,14,16,0
492,14,17,0
493,14,18,0
494,14,19,0
495,14,20,0
496,14,21,0
497,14,22,0
498,14,23,0
499,14,24,0
500,14,25,0
501,14,26,0
502,14,27,0
503,14,28,0
504,14,29,0
505,14,30,0
506,14,31,0
507,14,32,0
508,14,33,0
509,14,34,0
510,14,35,0
511,14,36,0
512,14,37,0
513,14,38,0
514,14,39,0
515,14,40,0
516,15,1,0
517,15,2,0
518,15,3,0
519,15,4,0
520,15,5,0
521,15,6,0
522,15,7,0
523,15,8,0
524,15,9,0
525,15,10,0
526,15,11,0
527,15,12,0
528,15,13,0
529,15,14,0
530,15,15,0
531,15,16,0
532,15,17,0
533,15,18,0
534,15,19,0
535,15,20,0
536,15,21,0
537,15,22,0
538,15,23,0
539,15,24,0
540,15,25,0
541,15,26,0
542,15,27,0
543,15,28,0
544,15,29,0
545,15,30,0
546,15,31,0
547,15,32,0
548,15,33,0
549,15,34,0
550,15,35,0
551,15,36,0
552,15,37,0
553,15,38,0
554,15,39,0
555,15,40,0
556,16,1,0
557,16,2,0
558,16,3,0
559,16,4,0
560,16,5,0
561,16,6,0
562,16,7,0
563,16,8,0
564,16,9,0
565,16,10,0
566,16,11,0
567,16,12,0
568,16,13,0
569,16,14,0
570,16,15,0
571,16,16,0
572,16,17,0
573,16,18,0
574,16,19,0
575,16,20,0
576,16,21,0
577,16,22,0
578,16,23,0
579,16,24,0
580,16,25,0
581,17,1,0
582,17,2,0
583,17,3,0
584,17,4,0
585,17,5,0
586,17,6,0
587,17,7,0
588,17,8,0
589,17,9,0
590,17,10,0
591,17,11,0
592,17,12,0
593,17,13,0
594,17,14,0
595,17,15,0
596,17,16,0
597,17,17,0
598,17,18,0
599,17,19,0
600,17,20,0
601,17,21,0
602,17,22,0
603,17,23,0
604,17,24,0
605,17,25,0
606,17,26,0
607,17,27,0
608,17,28,0
609,17,29,0
610,17,30,0
611,17,31,0
612,17,32,0
613,17,33,0
614,17,34,0
615,17,35,0
616,17,36,0
617,17,37,0
618,17,38,0
619,17,39,0
620,17,40,0
621,18,1,0
622,18,2,0
623,18,3,0
624,18,4,0
625,18,5,0
626,18,6,0
627,18,7,0
628,18,8,0
629,18,9,0
630,18,10,0
631,18,11,0
632,18,12,0
633,18,13,0
634,18,14,0
635,18,15,0
636,18,16,0
637,18,17,0
638,18,18,0
639,18,19,0
640,18,20,0
641,18,21,0
642,18,22,0
643,18,23,0
644,18,24,0
645,18,25,0
646,18,26,0
647,18,27,0
648,18,28,0
649,18,29,0
650,18,30,0
651,18,31,0
652,18,32,0
653,18,33,0
654,18,34,0
655,18,35,0
656,18,36,0
657,18,37,0
658,18,38,0
659,18,39,0
660,18,40,0
661,19,1,0
662,19,2,0
663,19,3,0
664,19,4,0
665,19,5,0
666,19,6,0
667,19,7,0
668,19,8,0
669,19,9,0
670,19,10,0
671,19,11,0
672,19,12,0
673,19,13,0
674,19,14,0
675,19,15,0
676,19,16,0
677,19,17,0
678,19,18,0
679,19,19,0
680,19,20,0
681,19,21,0
682,19,22,0
683,19,23,0
684,19,24,0
685,19,25,0
686,19,26,0
687,19,27,0
688,19,28,0
689,19,29,0
