chapter,question_num,problem
1,1,4636
1,2,4643
1,3,4642
1,4,4343
1,5,4663
1,6,4677
1,7,4662
1,8,4686
1,9,4691
1,10,4708
2,1,4637
2,2,4342
2,3,4645
2,4,4664
2,5,4678
2,6,4668
2,7,4826
2,8,4687
2,9,4692
2,10,4709
3,1,4638
3,2,4651
3,3,4646
3,4,4666
3,5,4680
3,6,4665
3,7,4688
3,8,4693
3,9,4377
3,10,4392
4,1,4639
4,2,4653
4,3,4647
4,4,4344
4,5,4667
4,6,4675
4,7,4685
4,8,4689
4,9,4694
4,10,4393
5,1,4640
5,2,4656
5,3,4650
5,4,4669
5,5,4681
5,6,4684
5,7,4827
5,8,4690
5,9,4695
5,10,4394
6,1,4641
6,2,4657
6,3,4652
6,4,4670
6,5,4682
6,6,4661
6,7,4696
6,8,4701
6,9,4382
6,10,4871
7,1,4648
7,2,4658
7,3,4654
7,4,4786
7,5,4672
7,6,4683
7,7,4362
7,8,4697
7,9,4702
7,10,4385
8,1,4649
8,2,4659
8,3,4655
8,4,4674
8,5,4679
8,6,4363
8,7,4673
8,8,4698
8,9,4703
8,10,4386
9,1,4322
9,2,4660
9,3,4336
9,4,4347
9,5,4358
9,6,4365
9,7,4699
9,8,4704
9,9,4387
9,10,4866
10,1,4323
10,2,4337
10,3,4326
10,4,4796
10,5,4349
10,6,4360
10,7,4671
10,8,4700
10,9,4705
10,10,4388
11,1,4334
11,2,4327
11,3,4329
11,4,4350
11,5,4361
11,6,4368
11,7,4828
11,8,4371
11,9,4375
11,10,4389
12,1,4341
12,2,4328
12,3,4330
12,4,4351
12,5,4355
12,6,4676
12,7,4372
12,8,4376
12,9,4390
12,10,4383
13,1,4332
13,2,4335
13,3,4321
13,4,4797
13,5,4352
13,6,4364
13,7,4369
13,8,4373
13,9,4378
13,10,4391
14,1,4333
14,2,4325
14,3,4339
14,4,4353
14,5,4366
14,6,4370
14,7,4348
14,8,4374
14,9,4706
14,10,4379
15,1,4324
15,2,4338
15,3,4340
15,4,4354
15,5,4367
15,6,4346
15,7,4381
15,8,4707
15,9,4380
15,10,4868
16,1,4331
16,2,4644
16,3,4345
16,4,4816
16,5,4357
16,6,4359
16,7,4356
16,8,4384
16,9,4710
16,10,4395
17,1,4711
17,2,4713
17,3,4716
17,4,4718
17,5,4725
17,6,4728
17,7,4731
17,8,4733
17,9,4723
17,10,4724
17,11,4736
17,12,4737
17,13,4738
17,14,4740
17,15,4741
17,16,4744
17,17,4745
17,18,4754
17,19,4749
17,20,4752
17,21,4761
17,22,4763
17,23,4765
17,24,4770
17,25,4771
17,26,4774
17,27,4778
17,28,4780
17,29,4783
17,30,4784
18,1,4712
18,2,4714
18,3,4715
18,4,4719
18,5,4720
18,6,4722
18,7,4726
18,8,4729
18,9,4732
18,10,4735
18,11,4742
18,12,4743
18,13,4746
18,14,4747
18,15,4748
18,16,4751
18,17,4753
18,18,4755
18,19,4759
18,20,4760
18,21,4762
18,22,4764
18,23,4766
18,24,4769
18,25,4772
18,26,4773
18,27,4776
18,28,4777
18,29,4779
18,30,4781
