chapter,number,problem
1,1,4636
1,2,4643
1,3,4642
1,4,4343
1,5,4663
1,6,4677
1,7,4662
1,8,4686
1,9,4691
1,10,4708
2,1,4637
2,2,4342
2,3,4645
2,4,4664
2,5,4678
2,6,4668
2,7,4826
2,8,4687
2,9,4692
2,10,4709
3,1,4638
3,2,4651
3,3,4646
3,4,4666
3,5,4680
3,6,4665
3,7,4688
3,8,4693
3,9,4377
3,10,4392
4,1,4639
4,2,4653
4,3,4647
4,4,4344
4,5,4667
4,6,4675
4,7,4685
4,8,4689
4,9,4694
4,10,4393
5,1,4711
5,2,4713
5,3,4716
5,4,4718
5,5,4725
5,6,4728
5,7,4731
5,8,4733
5,9,4723
5,10,4724
5,11,4736
5,12,4737
5,13,4738
5,14,4740
5,15,4741
5,16,4744
5,17,4745
5,18,4754
5,19,4749
5,20,4752
5,21,4761
5,22,4763
5,23,4765
5,24,4770
5,25,4771
5,26,4774
5,27,4778
5,28,4780
5,29,4783
5,30,4784
6,1,4640
6,2,4656
6,3,4650
6,4,4669
6,5,4681
6,6,4684
6,7,4827
6,8,4690
6,9,4695
6,10,4394
7,1,4641
7,2,4657
7,3,4652
7,4,4670
7,5,4682
7,6,4661
7,7,4696
7,8,4701
7,9,4382
7,10,4871
8,1,4648
8,2,4658
8,3,4654
8,4,4786
8,5,4672
8,6,4683
8,7,4362
8,8,4697
8,9,4702
8,10,4385
9,1,4649
9,2,4659
9,3,4655
9,4,4674
9,5,4679
9,6,4363
9,7,4673
9,8,4698
9,9,4703
9,10,4386
10,1,4322
10,2,4660
10,3,4336
10,4,4347
10,5,4358
10,6,4365
10,7,4699
10,8,4704
10,9,4387
10,10,4866
11,1,4323
11,2,4337
11,3,4326
11,4,4796
11,5,4349
11,6,4360
11,7,4671
11,8,4700
11,9,4705
11,10,4388
12,1,4334
12,2,4327
12,3,4329
12,4,4350
12,5,4361
12,6,4368
12,7,4828
12,8,4371
12,9,4375
12,10,4389
13,1,4341
13,2,4328
13,3,4330
13,4,4351
13,5,4355
13,6,4676
13,7,4372
13,8,4376
13,9,4390
13,10,4383
14,1,4712
14,2,4714
14,3,4715
14,4,4719
14,5,4720
14,6,4722
14,7,4726
14,8,4729
14,9,4732
14,10,4735
14,11,4742
14,12,4743
14,13,4746
14,14,4747
14,15,4748
14,16,4751
14,17,4753
14,18,4755
14,19,4759
14,20,4760
14,21,4762
14,22,4764
14,23,4766
14,24,4769
14,25,4772
14,26,4773
14,27,4776
14,28,4777
14,29,4779
14,30,4781
15,1,4332
15,2,4335
15,3,4321
15,4,4797
15,5,4352
15,6,4364
15,7,4369
15,8,4373
15,9,4378
15,10,4391
16,1,4333
16,2,4325
16,3,4339
16,4,4353
16,5,4366
16,6,4370
16,7,4348
16,8,4374
16,9,4706
16,10,4379
17,1,4324
17,2,4338
17,3,4340
17,4,4354
17,5,4367
17,6,4346
17,7,4381
17,8,4707
17,9,4380
17,10,4868
18,1,4331
18,2,4644
18,3,4345
18,4,4816
18,5,4357
18,6,4359
18,7,4356
18,8,4384
18,9,4710
18,10,4395
19,1,4787
19,2,4794
19,3,4790
19,4,4407
19,5,4829
19,6,4470
19,7,4460
19,8,4867
19,9,4877
19,10,4874
20,1,4788
20,2,4801
20,3,4795
20,4,4833
20,5,4469
20,6,4836
20,7,4750
20,8,4869
20,9,4879
20,10,4883
21,1,4789
21,2,4800
21,3,4401
21,4,4835
21,5,4468
21,6,4848
21,7,4870
21,8,4889
21,9,4892
21,10,4880
22,1,4791
22,2,4803
22,3,4717
22,4,4798
22,5,4837
22,6,4466
22,7,4864
22,8,4886
22,9,4896
22,10,4893
23,1,4806
23,2,4812
23,3,4802
23,4,4841
23,5,4464
23,6,4465
23,7,4756
23,8,4891
23,9,4901
23,10,4898
24,1,4807
24,2,4821
24,3,4815
24,4,4845
24,5,4463
24,6,4448
24,7,4887
24,8,4902
24,9,4903
24,10,4894
25,1,4808
25,2,4814
25,3,4817
25,4,4408
25,5,4846
25,6,4462
25,7,4862
25,8,4888
25,9,4478
25,10,4483
26,1,4809
26,2,4396
26,3,4820
26,4,4847
26,5,4461
26,6,4850
26,7,4840
26,8,4890
26,9,4479
26,10,4484
27,1,4811
27,2,4792
27,3,4822
27,4,4422
27,5,4804
27,6,4805
27,7,4428
27,8,4818
27,9,4442
27,10,4834
27,11,4853
27,12,4444
27,13,4467
27,14,4445
27,15,4453
27,16,4838
27,17,4839
27,18,4500
27,19,4882
27,20,4487
27,21,4505
27,22,4490
27,23,4872
27,24,4884
27,25,4885
28,1,4810
28,2,4404
28,3,4799
28,4,4849
28,5,4450
28,6,4857
28,7,4476
28,8,4485
28,9,4489
28,10,4899
29,1,4397
29,2,4400
