id,prime_id,student_id,prob1,prob2,prob3,prob4,prob5,prob6,prob7,prob8,prob9,prob10,prob11,prob12,prob13,prob14,prob15,prob16,prob17,prob18,prob19,prob20,prob21,prob22,prob23,prob24,prob25,prob26,prob27,prob28,prob29,prob30,prob31,prob32,prob33,prob34,prob35,prob36,prob37,prob38,prob39,prob40
7405,29,1852,4,3,1,4,1,4,1,3,5,5,2,2,4,1,1,5,1,4,1,4,4,1,2,1,5,4,2,3,1,1,2,2,3,4,4,1,3,1,5,2
7406,30,1852,4,2,1,2,1,2,3,2,1,3,5,4,2,2,4,5,4,3,4,2,3,3,5,2,2,3,5,2,3,1,4,5,1,5,3,4,3,2,5,5
7407,31,1852,2,1,1,2,4,3,1,3,4,5,5,2,5,3,4,1,4,5,5,3,3,2,3,2,4,3,1,2,4,4,5,3,2,4,1,2,5,1,4,3
7408,32,1852,2,3,2,4,1,1,4,4,4,3,3,4,4,2,2,3,1,2,4,3,1,2,3,2,1,,,,,,,,,,,,,,,
7409,29,1853,4,3,1,4,1,1,2,3,5,4,2,2,4,2,1,5,1,4,1,4,4,1,5,3,3,2,2,3,4,1,1,4,5,4,4,1,1,1,5,2
7410,30,1853,4,4,1,2,1,4,3,1,1,1,5,4,2,2,4,5,4,3,4,2,3,3,5,2,5,3,5,2,3,1,4,5,1,5,3,4,3,2,1,5
7411,31,1853,2,2,1,5,4,3,1,4,2,5,5,2,3,3,4,2,4,5,5,3,3,2,3,2,4,3,1,2,4,4,3,1,2,4,3,5,1,1,4,2
7412,32,1853,2,4,2,3,4,1,3,4,4,2,3,4,4,2,2,3,4,2,4,2,1,2,3,2,1,,,,,,,,,,,,,,,
7413,29,1854,4,3,3,4,3,2,2,3,5,5,2,1,4,2,1,5,1,4,1,4,4,1,2,3,1,4,1,3,4,1,3,2,5,4,2,1,2,1,5,2
7414,30,1854,4,2,1,2,2,5,3,2,1,1,5,4,2,2,4,5,4,3,2,2,3,3,5,2,5,3,5,2,3,1,4,5,4,5,3,4,3,2,1,3
7415,31,1854,2,1,1,2,3,3,1,5,4,5,5,2,5,1,4,2,4,5,5,3,3,2,3,2,4,3,1,2,4,4,3,1,2,3,1,1,5,1,4,3
7416,32,1854,2,3,2,3,3,1,3,4,4,2,4,4,3,1,4,3,2,2,4,2,1,2,3,3,4,,,,,,,,,,,,,,,
7417,29,1855,4,3,3,4,3,1,1,2,5,1,2,2,4,1,1,4,1,4,1,4,4,1,2,2,5,5,2,3,4,1,1,2,5,4,4,1,3,1,5,2
7418,30,1855,4,2,1,2,1,2,3,2,1,3,5,4,2,2,1,5,4,5,4,5,3,3,5,2,2,3,5,2,3,1,4,5,1,5,3,4,3,2,1,5
7419,31,1855,2,1,1,5,4,3,1,4,2,3,5,2,5,2,5,5,1,5,5,3,5,2,3,2,4,3,1,2,4,5,5,1,2,4,1,4,2,1,4,2
7420,32,1855,2,1,2,3,2,1,3,4,4,2,3,4,4,3,1,3,1,2,4,3,1,2,3,2,4,,,,,,,,,,,,,,,
7421,29,1856,4,3,3,4,3,1,2,5,5,3,2,2,4,2,1,5,1,4,1,4,4,1,1,3,5,4,2,3,4,1,1,2,3,4,4,1,1,2,5,2
7422,30,1856,4,2,1,3,1,2,3,2,1,3,5,4,2,2,5,5,4,2,3,2,3,4,5,2,5,2,4,2,3,1,4,5,1,5,3,4,3,2,1,5
7423,31,1856,2,1,4,2,1,3,1,4,4,5,5,2,5,3,4,1,4,1,5,3,3,2,3,3,4,3,1,5,4,4,2,1,2,4,1,2,5,1,4,3
7424,32,1856,3,1,2,3,2,1,4,4,4,2,3,4,4,3,1,3,1,2,4,2,1,1,3,2,3,,,,,,,,,,,,,,,
7425,29,1857,4,3,3,4,4,1,1,3,2,5,2,5,4,2,1,1,4,2,1,4,4,1,4,3,5,2,1,3,1,4,3,3,3,4,4,1,2,1,5,2
7426,30,1857,4,2,1,2,1,2,3,2,1,3,5,4,3,3,4,5,4,3,4,2,3,3,5,2,5,3,5,2,2,1,4,5,1,5,3,4,3,3,1,5
7427,31,1857,1,1,1,5,4,3,1,3,2,5,5,2,4,3,4,2,4,5,5,3,3,5,3,2,4,3,1,2,4,4,3,3,2,4,1,1,5,1,4,3
7428,32,1857,2,3,2,4,1,1,3,4,4,2,3,3,4,1,1,3,1,2,4,3,1,2,3,2,1,,,,,,,,,,,,,,,
7429,29,1858,4,3,3,4,1,1,1,3,2,5,2,5,4,1,5,2,1,4,1,4,4,1,1,3,5,4,2,3,4,1,5,5,3,4,4,1,1,1,5,2
7430,30,1858,4,2,1,3,1,4,3,2,1,3,5,4,2,2,4,5,4,3,1,5,3,3,5,2,5,3,2,2,3,1,4,5,4,3,3,4,3,2,1,2
7431,31,1858,2,1,1,5,4,3,1,2,2,3,5,2,5,1,1,2,4,5,5,3,3,2,3,3,4,3,1,2,4,5,1,1,2,4,4,4,5,1,4,3
7432,32,1858,2,1,2,4,1,1,3,4,4,4,3,4,4,3,4,3,1,2,4,3,1,2,3,3,4,,,,,,,,,,,,,,,
7433,29,1859,4,3,3,2,1,4,4,3,5,4,2,2,4,2,1,5,5,4,1,4,4,1,2,3,3,4,2,5,4,4,1,2,5,5,4,1,1,2,5,2
7434,30,1859,4,2,1,2,1,2,3,2,1,3,5,4,2,2,4,5,4,5,3,2,3,3,5,2,5,3,5,2,3,1,4,5,3,5,3,4,3,2,2,2
